CRIM,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,LSTAT,CAT.MEDV
0.00632,2.31,0,0.538,6.575,65.2,4.09,1,296,4.98,1
0.02731,7.07,0,0.469,6.421,78.9,4.9671,2,242,9.14,1
0.02729,7.07,0,0.469,7.185,61.1,4.9671,2,242,4.03,1
0.03237,2.18,0,0.458,6.998,45.8,6.0622,3,222,2.94,1
0.06905,2.18,0,0.458,7.147,54.2,6.0622,3,222,5.33,1
0.02985,2.18,0,0.458,6.43,58.7,6.0622,3,222,5.21,1
0.08829,7.87,0,0.524,6.012,66.6,5.5605,5,311,12.43,1
0.14455,7.87,0,0.524,6.172,96.1,5.9505,5,311,19.15,1
0.21124,7.87,0,0.524,5.631,100,6.0821,5,311,29.93,0
0.17004,7.87,0,0.524,6.004,85.9,6.5921,5,311,17.1,0
0.22489,7.87,0,0.524,6.377,94.3,6.3467,5,311,20.45,0
0.11747,7.87,0,0.524,6.009,82.9,6.2267,5,311,13.27,0
0.09378,7.87,0,0.524,5.889,39,5.4509,5,311,15.71,1
0.62976,8.14,0,0.538,5.949,61.8,4.7075,4,307,8.26,1
0.63796,8.14,0,0.538,6.096,84.5,4.4619,4,307,10.26,0
0.62739,8.14,0,0.538,5.834,56.5,4.4986,4,307,8.47,0
1.05393,8.14,0,0.538,5.935,29.3,4.4986,4,307,6.58,1
0.7842,8.14,0,0.538,5.99,81.7,4.2579,4,307,14.67,0
0.80271,8.14,0,0.538,5.456,36.6,3.7965,4,307,11.69,1
0.7258,8.14,0,0.538,5.727,69.5,3.7965,4,307,11.28,0
1.25179,8.14,0,0.538,5.57,98.1,3.7979,4,307,21.02,0
0.85204,8.14,0,0.538,5.965,89.2,4.0123,4,307,13.83,0
1.23247,8.14,0,0.538,6.142,91.7,3.9769,4,307,18.72,0
0.98843,8.14,0,0.538,5.813,100,4.0952,4,307,19.88,0
0.75026,8.14,0,0.538,5.924,94.1,4.3996,4,307,16.3,0
0.84054,8.14,0,0.538,5.599,85.7,4.4546,4,307,16.51,0
0.67191,8.14,0,0.538,5.813,90.3,4.682,4,307,14.81,0
0.95577,8.14,0,0.538,6.047,88.8,4.4534,4,307,17.28,0
0.77299,8.14,0,0.538,6.495,94.4,4.4547,4,307,12.8,0
1.00245,8.14,0,0.538,6.674,87.3,4.239,4,307,11.98,1
1.13081,8.14,0,0.538,5.713,94.1,4.233,4,307,22.6,0
1.35472,8.14,0,0.538,6.072,100,4.175,4,307,13.04,0
1.38799,8.14,0,0.538,5.95,82,3.99,4,307,27.71,0
1.15172,8.14,0,0.538,5.701,95,3.7872,4,307,18.35,0
1.61282,8.14,0,0.538,6.096,96.9,3.7598,4,307,20.34,0
0.06417,5.96,0,0.499,5.933,68.2,3.3603,5,279,9.68,0
0.09744,5.96,0,0.499,5.841,61.4,3.3779,5,279,11.41,0
0.08014,5.96,0,0.499,5.85,41.5,3.9342,5,279,8.77,1
0.17505,5.96,0,0.499,5.966,30.2,3.8473,5,279,10.13,1
0.02763,2.95,0,0.428,6.595,21.8,5.4011,3,252,4.32,1
0.03359,2.95,0,0.428,7.024,15.8,5.4011,3,252,1.98,1
0.12744,6.91,0,0.448,6.77,2.9,5.7209,3,233,4.84,1
0.1415,6.91,0,0.448,6.169,6.6,5.7209,3,233,5.81,1
0.15936,6.91,0,0.448,6.211,6.5,5.7209,3,233,7.44,1
0.12269,6.91,0,0.448,6.069,40,5.7209,3,233,9.55,1
0.17142,6.91,0,0.448,5.682,33.8,5.1004,3,233,10.21,0
0.18836,6.91,0,0.448,5.786,33.3,5.1004,3,233,14.15,0
0.22927,6.91,0,0.448,6.03,85.5,5.6894,3,233,18.8,0
0.25387,6.91,0,0.448,5.399,95.3,5.87,3,233,30.81,0
0.21977,6.91,0,0.448,5.602,62,6.0877,3,233,16.2,0
0.08873,5.64,0,0.439,5.963,45.7,6.8147,4,243,13.45,0
0.04337,5.64,0,0.439,6.115,63,6.8147,4,243,9.43,1
0.0536,5.64,0,0.439,6.511,21.1,6.8147,4,243,5.28,1
0.04981,5.64,0,0.439,5.998,21.4,6.8147,4,243,8.43,1
0.0136,4,0,0.41,5.888,47.6,7.3197,3,469,14.8,0
0.01311,1.22,0,0.403,7.249,21.9,8.6966,5,226,4.81,1
0.02055,0.74,0,0.41,6.383,35.7,9.1876,2,313,5.77,1
0.01432,1.32,0,0.411,6.816,40.5,8.3248,5,256,3.95,1
0.15445,5.13,0,0.453,6.145,29.2,7.8148,8,284,6.86,1
0.10328,5.13,0,0.453,5.927,47.2,6.932,8,284,9.22,0
0.14932,5.13,0,0.453,5.741,66.2,7.2254,8,284,13.15,0
0.17171,5.13,0,0.453,5.966,93.4,6.8185,8,284,14.44,0
0.11027,5.13,0,0.453,6.456,67.8,7.2255,8,284,6.73,1
0.1265,5.13,0,0.453,6.762,43.4,7.9809,8,284,9.5,1
0.01951,1.38,0,0.4161,7.104,59.5,9.2229,3,216,8.05,1
0.03584,3.37,0,0.398,6.29,17.8,6.6115,4,337,4.67,1
0.04379,3.37,0,0.398,5.787,31.1,6.6115,4,337,10.24,0
0.05789,6.07,0,0.409,5.878,21.4,6.498,4,345,8.1,1
0.13554,6.07,0,0.409,5.594,36.8,6.498,4,345,13.09,0
0.12816,6.07,0,0.409,5.885,33,6.498,4,345,8.79,1
0.08826,10.81,0,0.413,6.417,6.6,5.2873,4,305,6.72,1
0.15876,10.81,0,0.413,5.961,17.5,5.2873,4,305,9.88,1
0.09164,10.81,0,0.413,6.065,7.8,5.2873,4,305,5.52,1
0.19539,10.81,0,0.413,6.245,6.2,5.2873,4,305,7.54,1
